timestamp,jobId,avgCpu,avgInput,avgProcess,queue,numExecutors,numLambdaExecutors,lastActionWasScaleOut,prevFutureCompleted,registeredVmWorkers,activeVmWorkers,vmWorkerRunningTasks
1786654874646,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.000179,0.0,-1.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786654890957,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.011527,60000.0,59504.2,-1,4,-1,unknown,unknown,-1,-1,-1
1786654906851,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.011241,60000.0,60160.2,-1,4,-1,unknown,unknown,-1,-1,-1
1786654922812,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.011205,60000.0,59676.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786654938935,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.011143,60000.0,59899.4,-1,4,-1,unknown,unknown,-1,-1,-1
1786654954975,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.011161,60000.0,59768.2,-1,4,-1,unknown,unknown,-1,-1,-1
1786654970820,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.011161,60000.0,59173.2,-1,4,-1,unknown,unknown,-1,-1,-1
1786654986943,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.008036,60000.0,58964.4,-1,4,-1,unknown,unknown,-1,-1,-1
1786655003088,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.011116,90000.0,89870.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655019127,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.016286,140000.0,139920.2,-1,4,-1,unknown,unknown,-1,-1,-1
1786655034931,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.022,200000.0,200339.8,-1,4,-1,unknown,unknown,-1,-1,-1
1786655050872,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.025866,260000.0,259695.8,-1,4,-1,unknown,unknown,-1,-1,-1
1786655066932,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.027188,330000.0,329920.8,-1,4,-1,unknown,unknown,-1,-1,-1
1786655082868,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.022732,400000.0,399863.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655099176,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.026027,450000.0,449860.6,-1,4,-1,unknown,unknown,-1,-1,-1
1786655115388,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.029125,450000.0,450000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655131528,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.026235,400000.0,447500.0,-1,3,-1,unknown,unknown,-1,-1,-1
1786655147584,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.02608,330000.0,382500.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655163504,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.021545,260000.0,308033.2,-1,4,-1,unknown,unknown,-1,-1,-1
1786655179508,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.027577,200000.0,221000.0,-1,3,-1,unknown,unknown,-1,-1,-1
1786655195424,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.02372,140000.0,149000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655211522,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.021777,90000.0,90000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655227820,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.024214,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655243888,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.021804,60000.0,60000.0,-1,3,-1,unknown,unknown,-1,-1,-1
1786655259718,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.021545,60000.0,60000.0,-1,3,-1,unknown,unknown,-1,-1,-1
1786655276086,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.017979,60000.0,60000.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655292292,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.021357,0.0,0.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655308676,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.023732,0.0,0.0,-1,4,-1,unknown,unknown,-1,-1,-1
1786655324692,sponge-q6-sine-60k450k-peak45-20260813T2057Z,0.015098,0.0,0.0,-1,4,-1,unknown,unknown,-1,-1,-1
